disease,specialist
nose disorder,General Physician
obesity,General Physician
obsessive compulsive disorder (ocd),General Physician
obstructive sleep apnea (osa),General Physician
omphalitis,General Physician
onychomycosis,General Physician
open wound due to trauma,General Physician
open wound from surgical incision,General Physician
open wound of the abdomen,General Physician
open wound of the arm,General Physician
open wound of the back,General Physician
open wound of the cheek,General Physician
open wound of the chest,General Physician
open wound of the ear,General Physician
open wound of the eye,Ophthalmologist
open wound of the face,General Physician
open wound of the finger,General Physician
open wound of the foot,General Physician
open wound of the hand,General Physician
open wound of the head,General Physician
open wound of the jaw,General Physician
open wound of the knee,General Physician
open wound of the lip,General Physician
open wound of the mouth,General Physician
open wound of the neck,General Physician
open wound of the nose,General Physician
open wound of the shoulder,General Physician
oppositional disorder,General Physician
optic neuritis,General Physician
oral leukoplakia,General Physician
oral mucosal lesion,General Physician
oral thrush (yeast infection),Infectious Disease Specialist
orbital cellulitis,General Physician
orthostatic hypotension,General Physician
osteoarthritis,Orthopedic
osteochondroma,General Physician
osteochondrosis,General Physician
osteomyelitis,General Physician
osteoporosis,General Physician
otitis externa (swimmer's ear),General Physician
otitis media,General Physician
otosclerosis,General Physician
ovarian cancer,Gynecologist
ovarian cyst,Gynecologist
ovarian torsion,Gynecologist
overflow incontinence,General Physician
pain after an operation,General Physician
pain disorder affecting the neck,General Physician
pancreatic cancer,General Physician
panic attack,General Physician
panic disorder,General Physician
parasitic disease,General Physician
parathyroid adenoma,Endocrinologist
parkinson disease,Neurologist
paronychia,General Physician
paroxysmal supraventricular tachycardia,General Physician
paroxysmal ventricular tachycardia,General Physician
pelvic fistula,General Physician
pelvic inflammatory disease,General Physician
pelvic organ prolapse,General Physician
pemphigus,General Physician
pericarditis,General Physician
peripheral arterial disease,General Physician
peripheral arterial embolism,General Physician
peripheral nerve disorder,General Physician
perirectal infection,Infectious Disease Specialist
peritonitis,General Physician
peritonsillar abscess,General Physician
persistent vomiting of unknown cause,General Physician
personality disorder,General Physician
peyronie disease,General Physician
pharyngitis,General Physician
phimosis,General Physician
pilonidal cyst,General Physician
pinguecula,General Physician
pinworm infection,Infectious Disease Specialist
pituitary adenoma,General Physician
pituitary disorder,General Physician
pityriasis rosea,General Physician
placenta previa,General Physician
placental abruption,General Physician
plantar fasciitis,General Physician
pleural effusion,General Physician
pneumoconiosis,General Physician
pneumonia,General Physician
pneumothorax,General Physician
poisoning due to analgesics,General Physician
poisoning due to anticonvulsants,General Physician
poisoning due to antidepressants,General Physician
poisoning due to antihypertensives,General Physician
poisoning due to antimicrobial drugs,General Physician
poisoning due to antipsychotics,General Physician
poisoning due to ethylene glycol,General Physician
poisoning due to gas,General Physician
poisoning due to opioids,General Physician
poisoning due to sedatives,General Physician
polycystic kidney disease,Nephrologist
polycystic ovarian syndrome (pcos),Gynecologist
polycythemia vera,General Physician
polymyalgia rheumatica,General Physician
post-traumatic stress disorder (ptsd),General Physician
postoperative infection,Infectious Disease Specialist
postpartum depression,General Physician
preeclampsia,General Physician
pregnancy,Gynecologist
premature atrial contractions (pacs),General Physician
premature ovarian failure,Gynecologist
premature rupture of amniotic membrane,General Physician
premature ventricular contractions (pvcs),General Physician
premenstrual tension syndrome,General Physician
presbyacusis,General Physician
presbyopia,General Physician
priapism,General Physician
primary immunodeficiency,General Physician
primary insomnia,General Physician
primary kidney disease,Nephrologist
primary thrombocythemia,General Physician
problem during pregnancy,Gynecologist
prostate cancer,General Physician
prostatitis,General Physician
protein deficiency,General Physician
pseudohypoparathyroidism,Endocrinologist
pseudotumor cerebri,General Physician
psoriasis,Dermatologist
psychosexual disorder,General Physician
psychotic disorder,General Physician
pterygium,General Physician
pulmonary congestion,General Physician
pulmonary embolism,General Physician
pulmonary eosinophilia,General Physician
pulmonary fibrosis,General Physician
pulmonary hypertension,Cardiologist
pulmonic valve disease,General Physician
pyelonephritis,General Physician
pyloric stenosis,General Physician
pyogenic skin infection,Dermatologist
raynaud disease,General Physician
reactive arthritis,Orthopedic
rectal disorder,General Physician
restless leg syndrome,General Physician
retinal detachment,Ophthalmologist
retinopathy due to high blood pressure,General Physician
rhabdomyolysis,General Physician
rheumatic fever,General Physician
rheumatoid arthritis,Orthopedic
rocky mountain spotted fever,General Physician
rosacea,General Physician
rotator cuff injury,General Physician
salivary gland disorder,General Physician
sarcoidosis,General Physician
scabies,General Physician
scar,General Physician
scarlet fever,General Physician
schizophrenia,General Physician
sciatica,General Physician
scleritis,General Physician
scleroderma,General Physician
scoliosis,General Physician
scurvy,General Physician
seasonal allergies (hay fever),General Physician
sebaceous cyst,General Physician
seborrheic dermatitis,General Physician
seborrheic keratosis,General Physician
sensorineural hearing loss,General Physician
sepsis,General Physician
septic arthritis,Orthopedic
shingles (herpes zoster),General Physician
sialoadenitis,General Physician
sick sinus syndrome,General Physician
sickle cell anemia,General Physician
sickle cell crisis,General Physician
sinus bradycardia,General Physician
sjogren syndrome,General Physician
skin cancer,Dermatologist
skin disorder,Dermatologist
skin pigmentation disorder,Dermatologist
skin polyp,Dermatologist
smoking or tobacco addiction,General Physician
social phobia,General Physician
soft tissue sarcoma,General Physician
somatization disorder,General Physician
spermatocele,General Physician
spherocytosis,General Physician
spina bifida,General Physician
spinal stenosis,General Physician
spinocerebellar ataxia,General Physician
spondylitis,General Physician
spondylolisthesis,General Physician
spondylosis,General Physician
spontaneous abortion,General Physician
sporotrichosis,General Physician
sprain or strain,General Physician
stenosis of the tear duct,General Physician
stomach cancer,General Physician
strep throat,General Physician
stress incontinence,General Physician
stricture of the esophagus,General Physician
stroke,Cardiologist
stye,General Physician
subacute thyroiditis,Endocrinologist
subarachnoid hemorrhage,General Physician
subconjunctival hemorrhage,General Physician
subdural hemorrhage,General Physician
substance-related mental disorder,General Physician
syndrome of inappropriate secretion of adh (siadh),General Physician
syphilis,General Physician
syringomyelia,General Physician
systemic lupus erythematosis (sle),General Physician
teething syndrome,General Physician
temporary or benign blood in urine,General Physician
temporomandibular joint disorder,Orthopedic
tendinitis,General Physician
tension headache,General Physician
testicular cancer,General Physician
testicular disorder,General Physician
testicular torsion,General Physician
thalassemia,General Physician
thoracic aortic aneurysm,General Physician
thoracic outlet syndrome,General Physician
threatened pregnancy,Gynecologist
thrombocytopenia,General Physician
thrombophlebitis,General Physician
thyroid cancer,Endocrinologist
thyroid disease,Endocrinologist
thyroid nodule,Endocrinologist
tic (movement) disorder,General Physician
tietze syndrome,General Physician
tinnitus of unknown cause,General Physician
tonsillar hypertrophy,General Physician
tonsillitis,General Physician
tooth abscess,General Physician
tooth disorder,General Physician
torticollis,General Physician
tourette syndrome,General Physician
toxic multinodular goiter,General Physician
toxoplasmosis,General Physician
tracheitis,General Physician
transient ischemic attack,General Physician
trichiasis,General Physician
trichinosis,General Physician
trichomonas infection,Infectious Disease Specialist
tricuspid valve disease,General Physician
trigeminal neuralgia,General Physician
trigger finger (finger disorder),General Physician
tuberculosis,General Physician
tuberous sclerosis,General Physician
turner syndrome,General Physician
typhoid fever,General Physician
ulcerative colitis,General Physician
urethral disorder,General Physician
urethral stricture,General Physician
urethral valves,General Physician
urethritis,General Physician
urge incontinence,General Physician
urinary tract infection,Infectious Disease Specialist
urinary tract obstruction,General Physician
uterine atony,Gynecologist
uterine cancer,Gynecologist
uterine fibroids,Gynecologist
uveitis,General Physician
vacterl syndrome,General Physician
vaginal cyst,Gynecologist
vaginal yeast infection,Gynecologist
vaginismus,General Physician
vaginitis,General Physician
valley fever,General Physician
varicocele of the testicles,General Physician
varicose veins,General Physician
vasculitis,General Physician
venous insufficiency,General Physician
vertebrobasilar insufficiency,General Physician
vesicoureteral reflux,General Physician
viral exanthem,General Physician
viral hepatitis,Hepatologist
viral warts,General Physician
vitamin a deficiency,General Physician
vitamin b12 deficiency,General Physician
vitamin d deficiency,General Physician
vitreous degeneration,General Physician
vitreous hemorrhage,General Physician
vocal cord polyp,General Physician
volvulus,General Physician
von willebrand disease,General Physician
vulvar cancer,General Physician
vulvar disorder,General Physician
vulvodynia,General Physician
wernicke korsakoff syndrome,General Physician
white blood cell disease,General Physician
whooping cough,General Physician
wilson disease,General Physician
yeast infection,Infectious Disease Specialist
zenker diverticulum,General Physician
